1,L,1
0.01,L,2
0.1,M,6
0.01,M,7
0.01,L,3
0.1,M,6
0.01,M,7
0.01,L,4
0.1,M,8
0.01,M,9
0.01,L,5
0.5,L,4
0.1,M,8
0.01,M,9
0.5,L,3
0.5,L,2
0.1,M,8
0.01,M,9
0.5,L,1
1,S,6
0.7,S,6
0.01,L,4
0.01,L,3
0.7,S,6
0.7,S,6
0.01,M,3
0.01,M,5
0.01,M,8
0.01,M,9
0.01,M,2
0.01,M,1
0.7,S,6
1,L,2
0.1,M,9
0.1,S,1
0.1,S,2
0.1,S,5
1,L,3
0.1,M,9
0.1,S,1
0.1,S,2
0.1,S,5
1,L,5
0.1,M,9
0.1,S,1
0.1,S,2
0.1,S,5
1,L,1
0.1,L,2
0.1,L,3
0.01,M,6
0.01,M,7
0.01,M,1
0.01,M,2
0.01,M,3
0.01,M,4
0.01,M,5
0.01,M,8
0.01,M,9
0.1,L,4
0.1,L,5
0.1,S,6
0.1,S,6
0.1,S,6
0.1,S,7
0.1,S,7
0.1,S,7
0.1,S,8
0.1,S,8
0.1,S,8
0.1,S,9
0.1,S,9
0.1,S,9
0.01,L,2
0.1,M,6
0.01,M,7
0.01,L,3
0.1,M,6
0.01,M,7
0.01,L,4
0.1,M,8
0.01,M,9
0.01,L,5
0.5,L,4
0.1,M,8
0.01,M,9
0.5,L,3
0.5,L,2
0.1,M,8
0.01,M,9
0.5,L,1
1,S,6
0.7,S,6
0.01,L,4
0.01,L,3
0.7,S,6
0.7,S,6
0.01,M,3
0.01,M,5
0.01,M,8
0.01,M,9
0.01,M,2
0.01,M,1
0.7,S,6
1,L,2
0.1,M,9
0.1,S,1
0.1,S,2
0.1,S,5
1,L,3
0.1,M,9
0.1,S,1
0.1,S,2
0.1,S,5
1,L,5
0.1,M,9
0.1,S,1
0.1,S,2
0.1,S,5
1,L,1
0.1,L,2
0.1,L,3
3,B,3
0.01,M,6
0.01,M,7
0.01,M,1
0.01,M,2
0.01,M,3
0.01,M,4
0.01,M,5
0.01,M,8
0.01,M,9
0.1,L,4
0.1,L,5
0.1,S,6
0.1,S,6
0.1,S,6
0.1,S,7
0.1,S,7
0.1,S,7
0.1,S,8
0.1,S,8
0.1,S,8
0.1,S,9
0.1,S,9
0.1,S,9
0.01,L,2
0.1,M,6
0.01,M,7
0.01,L,3
0.1,M,6
0.01,M,7
0.01,L,4
0.1,M,8
0.01,M,9
0.01,L,5
0.5,L,4
0.1,M,8
0.01,M,9
0.5,L,3
0.5,L,2
0.1,M,8
0.01,M,9
0.5,L,1
1,S,6
0.7,S,6
0.01,L,4
0.01,L,3
0.7,S,6
0.7,S,6
0.01,M,3
0.01,M,5
0.01,M,8
0.01,M,9
0.01,M,2
0.01,M,1
0.7,S,6
1,L,2
0.1,M,9
0.1,S,1
0.1,S,2
0.1,S,5
1,L,3
0.1,M,9
0.1,S,1
0.1,S,2
0.1,S,5
1,L,5
0.1,M,9
0.1,S,1
0.1,S,2
0.1,S,5
