1.5,S,2
0.3,S,2
0.3,S,2
0.3,S,2
1,S,4
0.3,S,4
0.3,S,4
0.3,S,4
1.5,M,6
0.3,M,7
0.5,M,8
0.3,M,9
0.7,M,6
0.3,M,7
0.5,M,8
0.3,M,9
1,L,3
1,L,3
0.1,L,1
0.1,L,2
0.1,L,3
0.1,L,4
0.1,L,5
2,S,6
0.1,S,8
0.4,S,7
0.1,S,9
0.4,S,6
0.1,S,8
0.4,S,7
0.1,S,9
1.5,M,1
0.3,M,2
0.3,M,3
0.3,M,4
0.3,M,5
0.3,M,6
0.3,M,7
0.3,M,8
0.3,M,9
1.5,M,9
0.2,M,8
0.2,M,7
0.2,M,6
0.2,M,5
0.2,M,4
0.2,M,3
0.2,M,2
0.2,M,1
3,L,2
0.3,L,2
0.1,M,6
0.01,M,7
0.3,L,3
0.01,M,8
0.01,M,9
0.3,L,4
0.1,M,6
0.1,M,7
0.3,L,5
0.1,M,8
0.01,M,9
2,S,6
0.1,S,8
0.2,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.2,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.2,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.2,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.2,S,7
0.01,S,9
0.1,S,6
0.1,L,2
0.01,S,8
0.2,S,7
0.01,S,9
0.01,S,6
0.1,M,2
0.1,M,3
0.01,M,4
0.01,M,2
0.1,M,3
0.01,M,4
0.1,M,2
0.01,M,4
0.1,M,2
0.1,S,8
0.2,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.2,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.5,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.2,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.2,S,7
0.01,S,9
0.01,M,3
0.01,M,4
0.01,M,2
0.01,S,6
0.01,S,8
0.2,S,7
0.01,S,9
0.01,S,6
0.01,S,8
0.2,S,7
0.01,S,9
0.01,S,6
0.01,S,8
0.2,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.2,S,7
0.1,S,9
0.1,S,6
0.1,S,8
0.2,S,7
0.1,S,9
0.1,S,6
2,L,3
2,L,4
2,L,5
3,L,3
0.01,L,3
0.01,L,3
0.01,L,3
0.01,L,3
0.01,L,3
0.01,L,3
0.01,L,3
0.01,L,3
4,B,3
3,M,6
0.2,M,6
0.2,M,6
0.2,M,6
1,L,1
1,L,5
1,L,2
1,L,4
1,L,3
0.2,M,8
